color,value,bonus
y,9,-2
y,8,-1
y,7,-5
y,7,1
y,6,0
y,6,-3
y,5,0
y,5,-2
y,5,S
y,4,3
y,4,-1
y,3,5
y,3,0
y,2,2
y,2,S
y,1,4
w,1,6
w,2,4
w,3,3
w,3,1
w,4,1
w,4,S
w,4,0
w,5,S
w,5,-2
w,5,0
w,6,1
w,6,-1
w,7,-3
w,8,-3
w,9,-1
w,9,-6
r,1,3
r,1,S
r,2,5
r,3,4
r,4,0
r,4,2
r,5,S
r,5,-1
r,5,0
r,6,-2
r,6,0
r,7,-1
r,7,-4
r,8,0
r,8,-5
r,9,0
g,1,5
g,2,3
g,3,2
g,3,S
g,4,4
g,4,-1
g,5,-1
g,5,0
g,5,S
g,6,0
g,6,-1
g,6,-4
g,7,0
g,7,-2
g,8,-2
g,9,-4
*,8,-1
*,6,-1
*,4,0
*,3,0
*,2,0
*,7,-1
